Year,Units,Կատեգորիա,Տեսակ,Value
2017,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,364.4
2018,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,31.3
2019,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-1014.6
2020,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-998.6
2021,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-1029.2
2022,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-1024.4
2023,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-1043.8
2024,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-1050.7
2015,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,40751096.1
2016,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,51905830.9
2017,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,52971110.9
2018,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,47413851.4
2019,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,56609870.8
2020,տոննա,"Մեկ շնչի հաշվով ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,62801874.9
